22,15
23,16
24,16
24,19
25,19
25,21
26,23
27,28
28,31
29,34
30,37
31,39
31,40
32,41
32,42
32,43
32,44
32,45
32,46
33,46
33,47
33,48
33,49
34,49
34,51
35,51
35,52
36,52
37,51
38,50
38,49
39,49
40,48
41,45
42,44
43,43
43,42
44,42
45,42
45,41
46,41
46,40
47,39
47,38
47,37
48,36
49,36
49,35
49,34
50,34
50,33
50,34
50,35
50,37
50,39
50,41
50,42
50,44
50,45
50,46
52,48
53,49
53,50
54,50
55,51
55,52
56,52
57,52
58,49
60,42
61,34
63,30
64,27
65,25
66,23
67,21
68,20
68,19
68,18
69,18
69,17
69,16
70,16
71,16
