31,43
32,42
33,41
35,40
36,37
39,33
41,30
42,28
44,25
45,23
47,20
47,18
49,15
50,13
51,13
51,12
51,11
51,10
51,11
51,12
51,14
50,14
49,16
48,19
47,21
46,23
45,25
45,28
43,32
43,34
42,35
41,39
40,44
39,46
38,48
38,50
37,52
37,53
36,54
36,55
36,56
36,55
37,53
38,51
39,48
41,46
45,40
46,38
47,37
48,35
49,34
50,33
51,32
52,32
52,31
53,31
53,30
54,29
55,29
56,29
57,29
57,30
58,31
59,32
60,33
60,34
60,35
60,36
61,36
61,37
61,38
61,39
61,40
61,41
61,42
61,43
61,44
61,45
61,46
61,47
61,48
61,49
61,50
61,51
61,52
62,52
63,52
64,52
65,52
67,51
70,50
74,48
77,47
79,46
80,45
82,43
83,42
84,42
84,41
