28,18
28,29
28,48
28,77
30,100
33,116
34,122
35,123
36,123
40,120
44,116
54,113
72,104
87,98
97,93
102,90
105,89
106,89
106,88
96,87
80,84
59,79
43,76
25,73
10,72
2,70
1,70
0,70
0,69
1,68
4,67
6,66
10,64
21,62
34,60
43,58
51,57
54,57
57,57
61,57
63,56
68,55
69,55
69,54
70,54
71,54
73,53
74,53
75,52
76,51
77,51
78,50
79,49
83,47
82,47
71,47
55,47
37,47
23,47
15,47
6,47
1,47
-6,47
-14,47
-21,47
-24,47
-25,47
-25,46
-23,40
-21,38
-15,33
-10,28
-2,22
5,17
9,15
10,15
11,14
14,14
23,14
47,14
76,16
108,18
147,18
183,18
199,18
201,18
202,18
201,19
200,19
199,20
