37,15
37,18
36,21
35,26
34,31
33,35
32,40
32,44
32,47
31,50
31,54
31,55
31,56
31,57
31,58
31,57
31,56
31,54
31,52
31,51
31,49
32,48
32,47
33,46
34,45
34,44
35,43
35,42
36,41
36,40
37,40
37,39
38,38
38,37
39,36
39,35
40,35
40,34
40,33
40,32
41,31
41,30
41,29
41,28
42,27
42,26
42,25
42,24
42,23
42,22
43,21
43,20
43,19
43,18
44,17
44,16
45,15
45,14
46,13
47,12
51,9
54,8
56,7
60,6
65,6
66,6
67,7
68,8
69,12
71,16
71,19
71,22
71,26
68,34
64,40
60,45
53,50
46,54
42,56
41,56
40,56
41,56
44,53
49,51
62,48
73,48
74,48
75,49
76,51
76,52
78,56
78,60
78,64
77,68
75,74
73,77
71,80
69,81
68,82
66,83
57,85
49,86
41,86
33,85
22,81
14,77
8,73
3,68
1,64
-2,58
-2,57
