34,8
34,11
34,13
34,16
34,18
34,23
35,29
36,31
36,32
36,35
36,36
37,37
37,39
37,40
37,41
37,42
37,43
37,44
37,45
37,47
37,48
37,49
37,50
37,51
37,52
37,53
36,53
35,50
34,46
33,42
31,38
31,33
30,31
30,30
30,29
30,28
31,28
31,27
33,25
34,25
35,25
36,25
36,24
38,24
39,24
40,24
42,24
43,24
44,24
44,25
45,25
46,25
47,26
47,27
48,27
49,28
49,30
50,32
52,34
53,36
54,36
54,38
55,38
55,39
55,40
55,41
55,42
55,43
55,44
55,45
55,46
55,47
55,48
54,49
53,50
52,50
51,51
50,52
49,52
49,53
47,53
46,53
44,53
43,53
42,53
41,53
40,53
39,53
