61,11
59,9
59,8
58,8
56,7
55,6
54,6
53,6
51,6
46,6
42,8
39,9
36,10
33,12
29,13
26,15
22,16
18,18
17,19
15,20
14,21
12,23
11,24
10,26
9,29
8,33
4,42
3,46
3,49
3,52
3,53
4,55
4,56
5,56
6,57
7,57
9,57
12,57
16,57
20,56
24,54
29,52
33,49
36,47
42,42
42,41
43,41
45,40
46,38
47,37
48,36
48,35
51,32
51,30
52,30
53,27
55,23
57,20
58,18
59,17
60,15
61,13
62,11
62,10
63,10
63,11
63,13
62,15
60,19
59,23
57,28
57,31
56,33
55,35
54,38
52,41
52,42
52,44
51,45
51,46
51,47
51,48
51,49
51,50
52,51
52,52
54,53
56,53
61,53
66,53
71,52
80,50
84,48
86,47
87,46
88,45
88,44
