43,15
43,17
43,20
43,25
43,27
43,28
43,31
43,32
43,34
43,35
43,37
43,38
42,38
42,39
42,40
41,42
40,43
39,44
38,45
37,45
36,46
35,47
34,47
33,48
32,48
31,49
30,49
29,49
29,50
28,50
27,50
26,50
24,50
21,50
19,50
18,49
17,49
16,48
15,47
14,47
13,45
13,44
13,43
13,44
14,46
15,48
17,49
18,50
20,50
21,51
23,52
24,52
26,52
28,53
31,53
35,53
36,53
37,52
37,51
39,49
40,47
43,44
46,41
48,37
49,35
50,33
51,32
52,30
52,28
53,27
53,25
54,24
54,23
54,22
55,21
55,20
55,19
56,18
56,17
56,16
56,15
55,15
53,14
51,14
45,13
41,13
37,13
34,11
30,11
26,10
23,9
24,9
29,11
37,12
48,15
55,17
58,18
59,18
60,18
61,18
62,18
64,18
65,18
66,18
